"863";"";"81000";"0";"1";"";"";"";"";"0"
"864";"";"90000";"0";"1";"";"";"Лечении с удалением, тремами, д";"";"0"
"865";"";"99000";"0";"1";"";"";"Лечении аномалий прикуса (дист";"";"0"
"751";"";"5500";"0";"1";"";"";"Операция направленной регенер";"";"0"
"752";"";"2800";"0";"1";"";"";"Установки костного материала";"";"0"
"753";"";"300";"0";"1";"";"";"";"";"0"
"754";"";"1500";"0";"1";"";"";"Лоскутная операция в области о";"";"0"
"755";"";"500";"0";"1";"";"";"Кюретаж в области одного зуба";"";"0"
"756";"";"1500";"0";"1";"";"";"Операция удлинения клиническо";"";"0"
"757";"";"5300";"0";"1";"";"";"Съемная штампованая шина";"";"0"
"758";"";"1000";"0";"1";"";"";"Наложение стекловолоконной ши";"";"0"
"759";"";"5500";"0";"1";"";"";"Обработка патологических карм";"";"0"
"760";"";"1200";"0";"1";"";"";"";"";"0"
"761";"";"700";"0";"1";"";"";"Скрининг пародонтальных карма";"";"0"
"762";"";"300";"0";"1";"";"";"Обработка пародонтальных карм";"";"0"
"763";"";"550";"0";"1";"";"";"Фиксация проволочной шины к зу";"";"0"
"764";"";"250";"0";"1";"";"";"Медикаментозная обработка 1-го";"";"0"
"765";"";"250";"0";"1";"";"";"Избирательная пришлифовка 1-го";"";"0"
"766";"";"60";"0";"1";"";"";"Профессиональная гигиена поло";"";"0"
"767";"";"800";"0";"1";"";"";"Фторирование эмали реминерали";"";"0"
"768";"";"50";"0";"1";"";"";"Профессиональная гигиена поло";"";"0"
"769";"";"50";"0";"1";"";"";"Профессиональная гигиена поло";"";"0"
"770";"";"200";"0";"1";"";"";"Проведение противокариозной и";"";"0"
"771";"";"300";"0";"1";"";"";"Апексолакация одного корневог";"";"0"
"772";"";"600";"0";"1";"";"";"Внесение МТА";"";"0"
"773";"";"450";"0";"1";"";"";"Временная композитная повязка";"";"0"
"774";"";"3300";"0";"1";"";"";"";"";"0"
"775";"";"1000";"0";"1";"";"";"";"";"0"
"776";"";"600";"0";"1";"";"";"";"";"0"
"777";"";"700";"0";"1";"";"";"";"";"0"
"778";"";"1000";"0";"1";"";"";"Создание байпасс доступа в кор";"";"0"
"779";"";"300";"0";"1";"";"";"Электроодонтодиагностика";"";"0"
"780";"";"150";"0";"1";"";"";"Проведение холодовоно теста";"";"0"
"781";"";"300";"0";"1";"";"";"Использование гидроокиси каль";"";"0"
"782";"";"500";"0";"1";"";"";"";"";"0"
"783";"";"300";"0";"1";"";"";"Распломбирование одного корне";"";"0"
"784";"";"600";"0";"1";"";"";"Распломбирование одного корне";"";"0"
"785";"";"800";"0";"1";"";"";"Распломбирование одного корне";"";"0"
"786";"";"500";"0";"1";"";"";"Распломбирование одного корне";"";"0"
"787";"";"1500";"0";"1";"";"";"";"";"0"
"788";"";"1500";"0";"1";"";"";"Извлечение анкерного штифта";"";"0"
"789";"";"1100";"0";"1";"";"";"Закрытие перфорации материало";"";"0"
"710";"";"1000";"0";"1";"";"";"Реминерализирующий гель REVIVE";"";"0"
"327";"";"250";"0";"1";"";"";"Кнопка ретенционная";"";"0"
"328";"";"50";"0";"1";"";"";"Эластик 1 штука";"";"0"
"131";"";"1650";"0";"1";"";"";"";"";"0"
"471";"";"44000";"0";"1";"";"";"Набор брекетов самолигирующих";"";"0"
"472";"";"52000";"0";"1";"";"";"Набор брекетов самолигирующих";"";"0"
"474";"";"1250";"0";"1";"";"";"Брекет INSPIRE (система ROTH) сапфир";"";"0"
"475";"";"700";"0";"1";"";"";"Брекет SPIRIT  МВ (система ROTH)       
";"";"0"
"476";"";"1250";"0";"1";"";"";"Брекеты самолигирующие DAMON-3 МХ";"";"0"
"477";"";"1500";"0";"1";"";"";"Брекеты самолигирующие  DAMON-3 SYS";"";"0"
"478";"";"2850";"0";"1";"";"";"Брекеты самолигирующие DAMON Clear ";"";"0"
"479";"";"900";"0";"1";"";"";"Брекет Turbos (накусочный)";"";"0"
"480";"";"1000";"0";"1";"";"";"Замки на 1-е и 2-е моляры вч/нч дл";"";"0"
"481";"";"1300";"0";"1";"";"";"";"";"0"
"482";"";"1000";"0";"1";"";"";"Замки на 1-е и 2-е моляры вч/нч дл";"";"0"
"483";"";"250";"0";"1";"";"";"Лингвальные кнопки";"";"0"
"484";"";"250";"0";"1";"";"";"Крючок на Брекет Damon 3MX,Q";"";"0"
"485";"";"250";"0";"1";"";"";"";"";"0"
"486";"";"1300";"0";"1";"";"";"Дуга Damon";"";"0"
"487";"";"600";"0";"1";"";"";"";"";"0"
"488";"";"1150";"0";"1";"";"";"Пружины TMA  открывающие (1 шт. по";"";"0"
"489";"";"1150";"0";"1";"";"";"Пружины Ni-Ti  открывающие (1 шт. п";"";"0"
"490";"";"150";"0";"1";"";"";"Стопоры без крючка (022, 030, 018*025, 0";"";"0"
"491";"";"350";"0";"1";"";"";"Стопоры с крючком (022, 018*025, 022*028)";"";"0"
"573";"";"55000";"0";"1";"";"";"Набор брекетов самолигирующих";"";"0"
"606";"";"2850";"0";"1";"";"";"Брекет DAMON CLEAR";"";"0"
"607";"";"1800";"0";"1";"";"";"Брекет Damon Q";"";"0"
